,Place,Latitude,Longitude
0,CHN,14.558355299999999,-90.73754662633428
1,DEN,56.26392,9.501785
2,NED,-41.6439512,173.9212279
3,USA,39.7837304,-100.445882
4,FIN,45.742876,9.047639
5,NOR,50.52896715,3.0883523694464854
6,ROU,50.441818350000005,4.390705563894007
7,EST,12.2527495,0.8736106
8,FRA,50.0229437,8.524938151916214
9,MAR,43.3458388,13.1415872
10,ESP,41.0083643,-8.6394111
11,EGY,55.9409278,-3.3201499
12,IRI,42.1294712,-80.0852695
13,BUL,23.506953,89.97524343389128
14,ITA,-27.275006,-52.3381725
15,CHA,36.47948315,27.34115007116041
16,AZE,46.431937,4.7607483
17,SUD,2.7497556,11.4860732
18,RUS,64.6863136,97.7453061
19,ARG,31.1845678,-7.9196835
20,CUB,38.16521,-7.89253
21,BLR,13.196697,77.70758655918868
22,GRE,39.6908207,-83.9175037
23,CMR,39.0125063,-7.0692822
24,TUR,47.3900474,0.6889268
25,CHI,-31.7613365,-71.3187697
26,MEX,19.4839446,-99.6899716
27,URS,43.2288462,-0.1687741
28,NCA,44.0018032,7.253397341719173
29,HUN,0.044802,32.4429895
30,NGR,14.4907749,100.784439
31,ALG,36.7013497,3.21090318335027
32,KUW,-17.884610000000002,31.1477048
33,BRN,46.9482713,7.4514512
34,PAK,47.3663355,4.863993
35,IRQ,16.983322,43.363213
36,UAR,37.8623639,72.5975775
37,LIB,43.6506092,17.3119855
38,QAT,26.033333,32
39,MAS,43.1291258,2.4234147
40,GER,43.2525682,-0.0525885
41,CAN,49.1813403,-0.3635615
42,IRL,49.0032132,12.1679199
43,AUS,30.19348925,-97.66500963529677
44,RSA,-28.8166236,24.991639
45,ERI,42.1294712,-80.0852695
46,TAN,49.2578445,-0.4547545
47,JOR,22.304809900000002,114.17171519464297
48,TUN,46.7582827,7.628086
49,LBA,53.8665524,-1.6567664615412192
50,BEL,40.0057737,-81.0097516
51,DJI,44.7533712,5.3689136
52,PLE,52.36862055,16.778692789580703
53,COM,-8.358213,127.0591837
54,KAZ,1.1881951,127.89474750034671
55,BRU,48.0245814,-1.7471629
56,IND,40.3270127,-86.1746933
57,KSA,47.38837665,8.060297010142904
58,SYR,43.1141752,-76.11914451143608
59,MDV,50.7533814,10.5054807
60,ETH,50.3260433,3.6671281
61,UAE,49.4871968,31.2718321
62,YAR,48.5925538,-3.5856691
63,INA,50.9281717,11.5879359
64,PHI,35.2662953,117.9721788
65,SGP,46.070568699999995,53.396188553196176
66,UZB,41.0500912,69.165388
67,KGZ,12.5321066,79.911518
68,TJK,40.3085033,36.3689279948842
69,EUN,27.1406223,-13.222369376759582
70,JPN,63.342434,13.4720398
71,CGO,34.5270534,113.84801423633316
72,SUI,34.4277215,115.0636189
73,BRA,44.6976778,7.8542707
74,FRG,51.0834196,10.4234469
75,GDR,32.6540334,35.6844601
76,MON,54.1936805,-4.5591148
77,ISR,-34.4581281,-58.5313346
78,URU,-21.7846064,-49.2819702
79,SWE,7.8531232,98.2948876
80,ISV,48.7062231,2.131424124170077
81,SRI,14.6240563,100.8601022
82,ARM,-30.528625599999998,151.6156495208327
83,CIV,50.4500336,30.5241361
84,KEN,38.2118451,39.9205075
85,BEN,46.8382351,7.6004502
86,UKR,48.987895699999996,12.08712598842719
87,GBR,53.317942099999996,-60.46424991856307
88,GHA,33.3149631,67.828989
89,SOM,46.8076371,18.1397468
90,LAT,36.6114385,50.0681288
91,NIG,-1.31444,176.4100037
92,MLI,41.44772135,-90.51146650735623
93,AFG,6.1786099,1.1991252
94,POL,49.8607809,33.7498787
95,CRC,33.775532749999996,-84.40395970950263
96,PAN,35.4338536,69.7930899
97,GEO,55.7504461,37.6174943
98,SLO,55.016742,-1.6076707
99,CRO,44.9610258,7.2784482
100,GUY,29.3441332,-95.7830058
101,NZL,47.86549545,122.76645162598159
102,POR,41.1496775,-81.2082
103,PAR,-28.8166236,24.991639
104,ANG,45.72918935,0.22026408177330356
105,VEN,45.6476663,11.8665254
106,COL,50.938361,6.959974
107,BAN,38.65662195,42.80715035868445
108,PER,39.6370289,-82.2044367
109,ESA,42.620176,-1.2021437
110,PUR,22.8272471,100.9650146
111,UGA,48.85636005,103.47449744974568
112,HON,49.4982,6.1722
113,ECU,52.5352819,5.7101921
114,TKM,32.327455799999996,35.08447418411659
115,MRI,61.2133214,-149.8441957
116,SEY,46.2550786,6.6203237
117,TCH,45.9686903,-61.0665307
118,LUX,47.4910586,5.2120304
119,MTN,48.6843951,-97.8652374
120,CZE,50.4628129,16.2537309
121,SKN,13.5708192,100.2585874
122,TTO,45.81380745,-97.74395892099608
123,DOM,46.1152451,8.2920459
124,VIN,48.2083537,16.3725042
125,JAM,27.8262811,52.3263597
126,LBR,55.0707017,61.3919448
127,SUR,1.91691485,-76.24486873400363
128,NEP,-20.3331368,-40.2856209
129,MGL,40.588647949999995,-7.741695735402448
130,AUT,31.76597525,77.16464583761046
131,PLW,-0.9177448,119.90866988348841
132,LTU,42.6538104,23.357835317483428
133,TOG,39.58501375,46.9662804066517
134,NAM,29.3644727,112.3905651
135,AHO,40.63087935,8.288375274221512
136,ISL,40.98179415,28.81089438997946
137,ASA,54.9908896,57.2780531
138,SAM,33.5130695,36.3095814
139,RWA,51.45811465,-2.6082956773668036
140,DMA,32.17079565,-110.86990239630313
141,HAI,-3.325798,37.134517
142,MLT,35.6883561,51.426721
143,CYP,49.9215477,21.9698063
144,GUI,24,109
145,BIZ,50.7267076,4.7033973
146,YMD,76.23875265,-119.3015645546739
147,KOR,49.5196471,5.8952929
148,THA,14.9603605,105.721235
149,BER,52.3663978,13.489561415210032
150,ANZ,-8.669157,115.2131316
151,SCG,39.05289005,-28.012979224740974
152,SLE,44.908673050000004,-123.00229285488514
153,PNG,5.4065013,100.2559077
154,YEM,3.5619213,12.1574578
155,IOA,39.697841600000004,20.820293435868088
156,OMA,21.0000287,57.0036901
157,FIJ,22.13752,-10.649508
158,VAN,13.2904027,108.4265113
159,MDA,40.93039395,-7.251758355250185
160,YUG,57.7149524,55.6187393
161,BAH,44.3053476,17.5961467
162,GUA,20.9876996,-101
163,SRB,44.3637191,16.12382
164,IVB,51.78805475,19.486434599485754
165,MOZ,40.0717117,46.1358379
166,CAF,43.05326705,-2.185561466729254
167,MAD,39.8868227,-83.3937233
168,MAL,-9.535332,16.9364293
169,BIH,50.6402809,4.6667145
170,GUM,13.486490199999999,144.80206025352555
171,CAY,4.820737449999999,-52.36305702364213
172,SVK,-25.76263395,28.418297868007738
173,BAR,48.4088704,7.4492808
174,GBS,14.777715,45.231286
175,TLS,43.629977999999994,1.360809880743464
176,COD,53.305278,-7.041111
177,GAB,10.3991906,12.6990938
